id,tags,category,region,longitude,latitude,datetime,light,weather,road_conditions,participants_count,participant_categories,severity,dead_count,injured_count
1624509,"Дорожно-транспортные происшествия, ДТП и пострадавшие дети в возрасте до 16 лет",Наезд на пешехода,Тульская область,37.5372,54.1853,2016-11-22 20:35:00,"В темное время суток, освещение включено",Ясно,"Сухое, Отсутствие, плохая различимость горизонтальной разметки проезжей части",2,"Пешеходы, Дети, Все участники",Легкий,0,1
2197397,Дорожно-транспортные происшествия,Столкновение,Ставропольский край,43.325014,44.109559,2018-07-13 22:00:00,"В темное время суток, освещение отсутствует",Ясно,Сухое,2,Все участники,С погибшими,1,0
2498898,Дорожно-транспортные происшествия,Столкновение,Нижегородская область,42.230244,55.619515,2020-10-03 02:15:00,"В темное время суток, освещение отсутствует",Ясно,Сухое,2,Все участники,Тяжёлый,0,1
2479920,Дорожно-транспортные происшествия,Столкновение,Саратовская область,46.015635,51.602932,2020-09-19 16:00:00,Светлое время суток,Ясно,"Сухое, Отсутствие, плохая различимость горизонтальной разметки проезжей части, Отсутствие, плохая различимость вертикальной разметки",2,Все участники,Легкий,0,1
2441678,Дорожно-транспортные происшествия,Наезд на пешехода,Ростовская область,42.503056,48.549167,2015-10-30 18:40:00,"В темное время суток, освещение включено",Ясно,Сухое,2,"Пешеходы, Все участники",Тяжёлый,0,1
2377083,Дорожно-транспортные происшествия,Наезд на пешехода,Забайкальский край,113.8675,52.0731,2016-08-07 22:30:00,"В темное время суток, освещение отсутствует",Ясно,Сухое,3,"Пешеходы, Все участники",Легкий,0,1
2287352,Дорожно-транспортные происшествия,Опрокидывание,Республика Бурятия,106.4664,50.3692,2016-06-16 20:45:00,"В темное время суток, освещение включено",Ясно,Сухое,2,Все участники,Тяжёлый,0,2
1829976,"Дорожно-транспортные происшествия, ДТП и пострадавшие дети в возрасте до 16 лет",Столкновение,Республика Дагестан,48.141667,42.118333,2015-08-27 17:40:00,Светлое время суток,Ясно,Сухое,7,"Дети, Все участники",С погибшими,1,5
2752655,Дорожно-транспортные происшествия,Наезд на пешехода,Ленинградская область,29.560636,59.635053,2022-09-09 23:00:00,"В темное время суток, освещение включено",Ясно,Сухое,2,"Пешеходы, Все участники",Тяжёлый,0,1
2746231,Дорожно-транспортные происшествия,Наезд на стоящее ТС,Алтайский край,81.215916,51.508335,2022-08-30 22:15:00,"В темное время суток, освещение включено",Ясно,Сухое,2,Все участники,Легкий,0,1
2321988,Дорожно-транспортные происшествия,Столкновение,Алтайский край,85.3494,51.9456,2017-02-15 14:20:00,Светлое время суток,Ясно,Заснеженное,2,Все участники,Легкий,0,1
1972599,Дорожно-транспортные происшествия,Столкновение,Чувашская Республика - Чувашия,47.5514,56.0211,2016-12-26 18:30:00,"В темное время суток, освещение отсутствует","Снегопад, Метель",Заснеженное,2,Все участники,Легкий,0,1
