id,tags,category,region,longitude,latitude,datetime,light,weather,road_conditions,participants_count,participant_categories,severity,dead_count,injured_count,year,month,day,hour
2589224,Дорожно-транспортные происшествия,Столкновение,Свердловская область,60.053544,57.801763,2021-06-24 11:30:00,Светлое время суток,Ясно,Сухое,2,Все участники,Легкий,0,1,2021,6,24,11
2702559,Дорожно-транспортные происшествия,Съезд с дороги,Московская область,37.757843,55.254762,2022-03-03 11:50:00,Светлое время суток,Ясно,Сухое,2,Все участники,Легкий,0,1,2022,3,3,11
2083627,Дорожно-транспортные происшествия,Наезд на пешехода,Ивановская область,42.2197,57.7189,2016-02-11 07:30:00,Светлое время суток,Пасмурно,"Сухое, Отсутствие, плохая различимость горизонтальной разметки проезжей части, Недостатки зимнего содержания",2,"Пешеходы, Все участники",Легкий,0,1,2016,2,11,7
2573389,Дорожно-транспортные происшествия,Наезд на велосипедиста,Вологодская область,40.214038,60.473592,2021-05-19 17:05:00,Светлое время суток,Ясно,"Сухое, Отсутствие, плохая различимость горизонтальной разметки проезжей части",2,"Велосипедисты, Все участники",Легкий,0,1,2021,5,19,17
2368068,Дорожно-транспортные происшествия,Столкновение,Красноярский край,92.927967,56.065478,2017-02-26 18:30:00,"В темное время суток, освещение включено",Пасмурно,"Сухое, Отсутствие, плохая различимость горизонтальной разметки проезжей части, Недостаточное освещение, Отсутствие дорожных знаков в необходимых местах, Отсутствие пешеходных ограждений в необходимых местах",3,Все участники,Тяжёлый,0,2,2017,2,26,18
2206410,Дорожно-транспортные происшествия,Столкновение,Удмуртская Республика,53.187422,56.868756,2019-04-30 16:09:00,Светлое время суток,Ясно,Сухое,2,Все участники,Легкий,0,1,2019,4,30,16
2148248,Дорожно-транспортные происшествия,Наезд на пешехода,Московская область,38.6601,55.77,2016-06-16 16:10:00,Светлое время суток,Пасмурно,"Сухое, Неправильное применение, плохая видимость дорожных знаков",2,"Пешеходы, Все участники",Тяжёлый,0,1,2016,6,16,16
2635915,Дорожно-транспортные происшествия,Столкновение,Москва,37.551913,55.94455,2021-10-23 12:00:00,Светлое время суток,Ясно,Сухое,2,Все участники,Легкий,0,1,2021,10,23,12
2164476,Дорожно-транспортные происшествия,Столкновение,Московская область,38.094245,54.910209,2020-06-29 15:00:00,Светлое время суток,Ясно,Сухое,2,Все участники,Легкий,0,1,2020,6,29,15
2280497,Дорожно-транспортные происшествия,Опрокидывание,Томская область,85.409167,56.345556,2015-06-22 12:30:00,Светлое время суток,Ясно,Сухое,2,Все участники,Тяжёлый,0,1,2015,6,22,12
2895158,Дорожно-транспортные происшествия,Опрокидывание,Республика Саха (Якутия),133.500148,63.005535,2023-09-14 19:15:00,"В темное время суток, освещение отсутствует",Ясно,Сухое,1,"Мотоциклисты, Все участники",Тяжёлый,0,1,2023,9,14,19
2294343,Дорожно-транспортные происшествия,Столкновение,Ульяновская область,49.5686,54.2172,2016-06-14 17:10:00,Светлое время суток,Пасмурно,Сухое,3,Все участники,Легкий,0,1,2016,6,14,17
2827095,Дорожно-транспортные происшествия,Наезд на пешехода,Самарская область,50.226595,53.212966,2023-03-10 06:15:00,"В темное время суток, освещение включено",Пасмурно,"Мокрое, Отсутствие дорожных знаков в необходимых местах",2,"Пешеходы, Все участники",Легкий,0,1,2023,3,10,6
2961867,Дорожно-транспортные происшествия,Наезд на пешехода,Москва,37.188324,55.994565,2024-04-19 11:01:00,Светлое время суток,Пасмурно,Мокрое,2,"Пешеходы, Все участники",Тяжёлый,0,1,2024,4,19,11
