accident_id,vehicle_id,category,brand,model,manufacture_year
2961893,2961893_1,Прочая спецтехника,MAN,Прочие модели Man,2019
2961893,2961893_2,"В-класс (малый) до 3,9 м",DACIA,Logan,2006
2961931,2961931_1,Самосвалы,RENAULT,Прочие модели Renault,2021
2961931,2961931_2,"В-класс (малый) до 3,9 м",FORD,Прочие модели Ford,2013
2962326,2962326_1,"В-класс (малый) до 3,9 м",HAVAL,Jolion,2022
2962326,2962326_2,"В-класс (малый) до 3,9 м",KIA,Rio,2021
2962326,2962326_3,"В-класс (малый) до 3,9 м",TOYOTA,Camry,2021
2753489,2753489_1,"В-класс (малый) до 3,9 м",HYUNDAI,Creta,2020
2753489,2753489_2,"В-класс (малый) до 3,9 м",NISSAN,Tiida,2008
2778709,2778709_1,"С-класс (малый средний, компактный) до 4,3 м",VOLKSWAGEN,Polo,2022
1547416,1547416_1,"В-класс (малый) до 3,9 м",KIA,Ceed,2011
1547416,1547416_2,Одноэтажные длиной от 8 до 12 м,МАЗ,Прочие модели МАЗ,2016
1544386,1544386_1,Минивэны и универсалы повышенной вместимости,MERCEDES,GL,2014
1544386,1544386_2,Медицинские комплексы на шасси транспортных средств,Прочие марки ТС,Прочие марки и модели ТС,2011
1544386,1544386_3,Фургоны,ГАЗ,Прочие модели ГАЗ,2006
1554578,1554578_1,Минивэны и универсалы повышенной вместимости,HYUNDAI,прочие модели Hyundai,2016
1565571,1565571_1,Мотоциклы,HONDA,Прочие модели Honda,2009
1565571,1565571_2,"С-класс (малый средний, компактный) до 4,3 м",RENAULT,Logan,2012
2608059,2608059_1,"С-класс (малый средний, компактный) до 4,3 м",RENAULT,Sandero,2018
2608059,2608059_2,"С-класс (малый средний, компактный) до 4,3 м",MAZDA,Mazda 6,2012
2608059,2608059_3,"С-класс (малый средний, компактный) до 4,3 м",KIA,Rio,2018
2523518,2523518_1,"В-класс (малый) до 3,9 м",DAEWOO,Nexia,2006
2623401,2623401_1,Седельные тягачи,DAF,XF105 series,2018
2623401,2623401_2,Бортовые грузовые автомобили,ГАЗ,Прочие модели ГАЗ,2018
2553208,2553208_1,"В-класс (малый) до 3,9 м",MINI,Cooper,2002
2553208,2553208_2,"В-класс (малый) до 3,9 м",MITSUBISHI,Carisma,2002
2570642,2570642_1,"А-класс (особо малый) до 3,5 м",TOYOTA,Land Cruiser,2011
2570642,2570642_2,"А-класс (особо малый) до 3,5 м",MAZDA,Mazda 6,2006
2570642,2570642_3,Прочие легковые автомобили,HYUNDAI,Solaris,2018
1570327,1570327_1,"В-класс (малый) до 3,9 м",CHEVROLET,Lanos,2008
1570327,1570327_2,"В-класс (малый) до 3,9 м",HONDA,Accord,2007
1533069,1533069_1,Мотоциклы,YAMAHA,FZ,2011
1538106,1538106_1,"В-класс (малый) до 3,9 м",SKODA,Rapid,2015
1538745,1538745_1,"D-класс (средний) до 4,6 м",CHEVROLET,Прочие модели Chevrolet,2009
1538745,1538745_2,Мотоциклы,HONDA,GL,1996
1538445,1538445_1,"С-класс (малый средний, компактный) до 4,3 м",VOLKSWAGEN,Polo,2018
1550550,1550550_1,Мотоциклы,KAWASAKI,Прочие модели Kawasaki,2008
1550550,1550550_2,Бортовые грузовые автомобили,ГАЗ,"3302, 33027 и модификации",2004
1544047,1544047_1,"В-класс (малый) до 3,9 м",HYUNDAI,Santa FE,2013
1544047,1544047_2,Мотоциклы,YAMAHA,XJ,2009
1535212,1535212_1,Прочие одноярусные,ЛИАЗ,5256,2011
1578373,1578373_1,"С-класс (малый средний, компактный) до 4,3 м",CHEVROLET,Cobalt,2013
1578373,1578373_2,"С-класс (малый средний, компактный) до 4,3 м",ВАЗ, Жигули  ВАЗ-2106 модификации,1997
1574656,1574656_1,"В-класс (малый) до 3,9 м",RENAULT,Logan,2015
1544730,1544730_1,Минивэны и универсалы повышенной вместимости,VOLKSWAGEN,Sharan,2003
1540953,1540953_1,Самосвалы,КАМАЗ,6511,2014
1540953,1540953_2,"В-класс (малый) до 3,9 м",OPEL,Corsa,2012
1554010,1554010_1,"В-класс (малый) до 3,9 м",KIA,Carens,2000
1554010,1554010_2,"В-класс (малый) до 3,9 м",ВАЗ, Жигули  ВАЗ-2107 модификации,2006
1560063,1560063_1,Минивэны и универсалы повышенной вместимости,MERCEDES,GL,2011
1560063,1560063_2,Мотоциклы,SUZUKI,SV,2004
1554422,1554422_1,Минивэны и универсалы повышенной вместимости,MERCEDES,Sprinter,2007
1554422,1554422_2,"D-класс (средний) до 4,6 м",MERCEDES,E-класс,2011
1572319,1572319_1,Прочая спецтехника,MAN,TGL,2013
1541657,1541657_1,Экскаваторы,Прочие марки ТС,Прочие марки и модели ТС,2010
1541657,1541657_2,Мотоциклы,HONDA,CB,2000
1571062,1571062_1,"С-класс (малый средний, компактный) до 4,3 м",TOYOTA,Camry,2013
1566146,1566146_1,Трамваи,Прочие марки ТС,Прочие марки и модели ТС,2005
2483243,2483243_1,"В-класс (малый) до 3,9 м",KIA,Optima,2018
2483243,2483243_2,"В-класс (малый) до 3,9 м",KIA,Rio,2012
1529844,1529844_1,"С-класс (малый средний, компактный) до 4,3 м",NISSAN,Almera,2015
2497520,2497520_1,Велосипеды,,,
2497520,2497520_2,Прочие легковые автомобили,,,
1570377,1570377_1,"D-класс (средний) до 4,6 м",PEUGEOT,206,2009
1570377,1570377_2,"D-класс (средний) до 4,6 м",RENAULT,Logan,2014
1660087,1660087_1,Прочие легковые автомобили,MERCEDES,Прочие модели Mercedes,2002
1660635,1660635_1,"А-класс (особо малый) до 3,5 м",ВАЗ, Жигули  ВАЗ-2106 модификации,1997
1660635,1660635_2,"А-класс (особо малый) до 3,5 м",ВАЗ,ВАЗ 2115 и модификации,2004
1660131,1660131_1,"В-класс (малый) до 3,9 м",RENAULT,Logan,2011
2762187,2762187_1,Прочие одноярусные,КАМАЗ,4208,2020
2762187,2762187_2,"С-класс (малый средний, компактный) до 4,3 м",RENAULT,Duster,2017
1662721,1662721_1,Самосвалы,VOLVO,FM,2014
1662721,1662721_2,Мотоциклы,HONDA,Прочие модели Honda,2005
2931159,2931159_1,"В-класс (малый) до 3,9 м",RENAULT,Logan,2021
2931159,2931159_2,"В-класс (малый) до 3,9 м",ВАЗ,Largus (Ларгус),2021
2868727,2868727_1,"В-класс (малый) до 3,9 м",,,
2822665,2822665_1,Прочие легковые автомобили,ВАЗ,Priora,2007
2822665,2822665_2,Мотоциклы,KAWASAKI,Прочие модели Kawasaki,2015
2795431,2795431_1,Прочие легковые автомобили,HYUNDAI,Santa FE,2014
2795431,2795431_2,"В-класс (малый) до 3,9 м",RENAULT,Logan,2014
2973626,2973626_1,"В-класс (малый) до 3,9 м",MAZDA,Mazda 3,2010
2973626,2973626_2,"В-класс (малый) до 3,9 м",ВАЗ,ВАЗ 2112 и модификации,2008
2695157,2695157_1,"В-класс (малый) до 3,9 м",GEELY,Прочие модели Geely,2021
2695157,2695157_2,"В-класс (малый) до 3,9 м",ВАЗ,Granta (Гранта),2021
2695380,2695380_1,Прочие одноярусные,ЛИАЗ,5292,2020
2931638,2931638_1,"D-класс (средний) до 4,6 м",KIA,Rio,2021
2931638,2931638_2,Одноэтажные длиной от 5 до 8 м,ПАЗ,4230,2019
2903341,2903341_1,Бортовые грузовые автомобили,ГАЗ,Прочие модели ГАЗ,2020
2511909,2511909_1,"С-класс (малый средний, компактный) до 4,3 м",FORD,Fusion,2007
1997343,1997343_1,"В-класс (малый) до 3,9 м",KIA,Soul,2014
1997343,1997343_2,"В-класс (малый) до 3,9 м",ВАЗ, Жигули  ВАЗ-2104 модификации,2011
1993458,1993458_1,Одноэтажные длиной от 5 до 8 м,ПАЗ,3204,2016
2009962,2009962_1,"С-класс (малый средний, компактный) до 4,3 м",KIA,Cerato,2019
2009962,2009962_2,"С-класс (малый средний, компактный) до 4,3 м",RENAULT,Logan,2009
2009962,2009962_3,"Е-класс (высший средний, бизнес-класс) до 4,9 м",OPEL,Zafira,2008
1993540,1993540_1,Тракторы,Прочие марки ТС,Прочие марки и модели ТС,2013
1993540,1993540_2,"С-класс (малый средний, компактный) до 4,3 м",MAZDA,Mazda 6,2004
1997447,1997447_1,Фургоны,ГАЗ,"2705  Газель , 27057 и модификации",2013
1997447,1997447_2,"В-класс (малый) до 3,9 м",ВАЗ,Granta (Гранта),2013
2015871,2015871_1,"С-класс (малый средний, компактный) до 4,3 м",ВАЗ,Kalina,2008
2861296,2861296_1,"В-класс (малый) до 3,9 м",ВАЗ,Priora,2011
2861296,2861296_2,"В-класс (малый) до 3,9 м",HYUNDAI,Creta,2019
